FC Bayern München;Germany;135;true;false;false
Manchester City FC;England;135;false;false;false
Chelsea FC;England;126;false;false;false
Liverpool FC;England;123;false;false;false
Real Madrid CF;Spain;115;false;true;false
Paris Saint-Germain FC;France;112;true;false;false
Manchester United FC;England;103;false;false;true
FC Barcelona;Spain;98;true;false;false
Juventus FC;Italy;96;false;false;false
AS Roma;Italy;89;false;false;false
AFC Ajax;Netherlands;89;false;false;false
FC Internazionale Milano;Italy;87;false;false;false
BV Borussia 1909 (Dortmund);Germany;86;false;false;false
Club Atlético de Madrid;Spain;85;false;false;false
RB Leipzig;Germany;84;false;false;false
Villarreal CF;Spain;82;false;false;false
Sevilla FC;Spain;82;false;false;false
SL e Benfica;Portugal;81;true;false;false
FC Porto;Portugal;81;false;false;false
SSC Napoli;Italy;80;true;false;false
Tottenham Hotspur FC;England;80;false;false;false
Eintracht Frankfurt;Germany;77;false;false;false
Arsenal FC;England;76;true;false;false
TSV Bayer 04 Leverkusen;Germany;67;false;false;false
Szachtar Donieck;Ukraine;63;true;false;false
Olympique Lyonnais;France;61;false;false;false
FC Salzburg;Austria;59;true;false;false
Atalanta BC;Italy;55,5;false;false;false
GNK Dinamo (Zagrzeb);Croatia;55;true;false;false
Club Brugge KV;Belgium;54;false;false;false
Rangers FC;Scotland;54;false;false;false
SK Slavia Praga;Czech Republic;52;true;false;false
Sporting Clube de Portugal (Lizbona);Portugal;51,5;false;false;false
Feyenoord Rotterdam;Netherlands;49;true;false;false
FC Basel 1893;Switzerland;47;false;false;false
AC Milan;Italy;46;false;false;false
AZ (Alkmaar);Netherlands;44,5;false;false;false
Stade Rennais FC;France;44;false;false;false
SC Braga;Portugal;44;false;false;false
PSV Eindhoven;Netherlands;43;false;false;false
SS Lazio;Italy;42;false;false;false
FK Crvena zvezda (Belgrad);Serbia;42;false;false;false
FC København;Denmark;40,5;false;false;false
València CF;Spain;40;false;false;false
West Ham United FC;England;39;false;false;false
Olympiakós SFP (Pireus);Greece;39;false;false;false
Real Betis Balompié;Spain;37;false;false;false
KAA Gent;Belgium;36,5;false;false;false
Linzer ASK;Austria;36;false;false;false
Dynamo Kijów;Ukraine;35;false;false;false
BSC Young Boys Berno;Switzerland;34,5;false;false;false
Real Sociedad de Fútbol;Spain;33;false;false;false
Olympique de Marseille;France;33;false;false;false
Zienit Sankt Petersburg;Russia;32;false;false;false
Galatasaray SK;Turkey;31,5;false;false;false
İstanbul Başakşehir FK;Turkey;31;false;false;false
Celtic FC;Scotland;31;false;false;false
Fenerbahçe SK;Turkey;30;false;false;false
LOSC Lille;France;30;false;false;false
AS Monaco FC;France;29;false;false;false
CFR Cluj;Romania;27,5;false;false;false
Ferencvárosi TC;Hungary;27;false;false;false
FC Midtjylland;Denmark;25,5;false;false;false
FK Partizan (Belgrad);Serbia;25,5;false;false;false
Malmö FF;Sweden;25,5;false;false;false
Qarabağ Ağdam;Azerbaijan;25;false;false;false
PAOK;Greece;25;false;false;false
FK Krasnodar;Russia;25;false;false;false
ŠK Slovan Bratysława;Slovakia;24,5;false;false;false
Molde FK;Norway;24;false;false;false
Maccabi Tel Awiw;Israel;24;false;false;false
Leicester City FC;England;23;false;false;false
VfL Wolfsburg;Germany;22,5;false;false;false
FC Viktoria Plzeň;Czech Republic;22;false;false;false
Łokomotiw Moskwa;Russia;22;false;false;false
Wolverhampton Wanderers FC;England;16;false;false;false
Burnley FC;England;2,5;false;false;false
Łudogorec Razgrad;Bulgaria;21;false;false;false
VfL Borussia Mönchengladbach 1900;Germany;21;false;false;false
FK Bodø/Glimt;Norway;20;false;false;false
Sheriff Tiraspol;Moldova;19,5;false;false;false
TSG 1899 Hoffenheim;Germany;19;false;false;false
SK Rapid Wiedeń;Austria;18,5;false;false;false
Spartak Moskwa;Russia;18,5;false;false;false
Granada CF;Spain;13;false;false;false
Getafe CF;Spain;11;false;false;false
RCD Espanyol;Spain;10;false;false;false
Royale Union Saint-Gilloise;Belgium;18;false;false;false
KRC Genk;Belgium;18;false;false;false
1.FC Union Berlin;Germany;17;false;false;false
Lech Poznań;Poland;17;false;false;false
Hapoel Beer Szewa;Israel;17;false;false;false
Royal Antwerp FC;Belgium;17;false;false;false
FC Schalke 04;Germany;17;false;false;false
Djurgårdens IF;Sweden;16,5;false;false;false
Sivasspor Kulübü;Turkey;16,5;false;false;false
SC Freiburg;Germany;15;false;false;false
1.FC Köln;Germany;6;false;false;false
OGC Nice-Côte d'Azur;France;16;false;false;false
Apóllon FC;Cyprus;16;false;false;false
Zoria Ługańsk;Ukraine;16;false;false;false
Royal Standard de Liège;Belgium;16;false;false;false
CSKA Moskwa;Russia;16;false;false;false
RSC Anderlecht;Belgium;15,5;false;false;false
ACF Fiorentina;Italy;14;false;false;false
Torino FC;Italy;2,5;false;false;false
BATE Borysów;Belarus;15;false;false;false
APOEL (Nikozja);Cyprus;14,5;false;false;false
AC Sparta Praga;Czech Republic;14;false;false;false
FK Astana (2);Kazakhstan;14;false;false;false
Beşiktaş JK;Turkey;14;false;false;false
Wolfsberger AC;Austria;13,5;false;false;false
Maccabi Hajfa;Israel;13;false;false;false
CSKA Sofia;Bulgaria;13;false;false;false
SK Sturm Graz;Austria;12,5;false;false;false
FC Fehérvár;Hungary;12,5;false;false;false
FC Nantes;France;8;false;false;false
FC Girondins de Bordeaux;France;5;false;false;false
AS Saint-Étienne Loire;France;4;false;false;false
RC Strasbourg;France;2,5;false;false;false
Stade de Reims;France;2;false;false;false
FK Jablonec;Czech Republic;12;false;false;false
SBV Vitesse;Netherlands;11;false;false;false
FC Twente;Netherlands;2,5;false;false;false
Willem II Tilburg;Netherlands;2;false;false;false
FC Utrecht;Netherlands;1,5;false;false;false
Trabzonspor Kulübü;Turkey;11,5;false;false;false
HNK Rijeka;Croatia;11,5;false;false;false
Vitória SC Guimarães;Portugal;6;false;false;false
